ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language,combined,clean
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English,How to Manage Fear and Anxiety Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life. anxiety|coping|fear|mental-health Guide supportive all English,manag fear anxieti comprehens guid explain origin fear anxieti practic cope strategi daili life anxieti cope fear mental health guid support english
2,Doomscrolling - Tips for Healthier News Consumption,Article examining the mental health effects of excessive news consumption and provides strategies for healthier digital habits.,https://www.mentalhealth.org.uk/explore-mental-health/articles/doomscrolling-tips-healthier-news-consumption,Article,anxiety|digital-wellbeing|stress|media,informative,all,Mental Health Foundation,English,Doomscrolling - Tips for Healthier News Consumption Article examining the mental health effects of excessive news consumption and provides strategies for healthier digital habits. anxiety|digital-wellbeing|stress|media Article informative all English,doomscrol tip healthier news consumpt articl examin mental health effect excess news consumpt provid strategi healthier digit habit anxieti digit wellb stress media articl inform english
3,How to Sleep Better,Practical guide offering evidence-based tips for improving sleep quality and managing common sleep disorders.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-sleep-better,Guide,sleep|insomnia|rest|wellness,calm,all,Mental Health Foundation,English,How to Sleep Better Practical guide offering evidence-based tips for improving sleep quality and managing common sleep disorders. sleep|insomnia|rest|wellness Guide calm all English,sleep better practic guid offer evid base tip improv sleep qualiti manag common sleep disord sleep insomnia rest well guid calm english
4,Looking After Your Mental Health: A Guide for Young People,Youth-focused guidance to help understand mental health better and develop healthy coping mechanisms.,https://www.mentalhealth.org.uk/explore-mental-health/articles/looking-after-your-mental-health-guide-young-people,Guide,mental-health|youth|self-care|wellbeing,supportive,young_adults,Mental Health Foundation,English,Looking After Your Mental Health: A Guide for Young People Youth-focused guidance to help understand mental health better and develop healthy coping mechanisms. mental-health|youth|self-care|wellbeing Guide supportive young_adults English,look mental health guid young peopl youth focus guidanc help understand mental health better develop healthi cope mechan mental health youth self care wellb guid support young adult english
5,Grounding Techniques for Anxiety,Article about evidence-based grounding techniques to manage anxiety and panic in the moment.,https://www.therapistaid.com/therapy-article/grounding-techniques-article,Article,anxiety|grounding|coping|mindfulness,calm,all,Therapist Aid,English,Grounding Techniques for Anxiety Article about evidence-based grounding techniques to manage anxiety and panic in the moment. anxiety|grounding|coping|mindfulness Article calm all English,ground techniqu anxieti articl evid base ground techniqu manag anxieti panic moment anxieti ground cope mind articl calm english
6,Anxiety Disorders - WHO Fact Sheet,Comprehensive information about anxiety disorders including symptoms diagnosis and treatment options from WHO.,https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,Article,anxiety|mental-health|symptoms|treatment,informative,all,WHO,English,Anxiety Disorders - WHO Fact Sheet Comprehensive information about anxiety disorders including symptoms diagnosis and treatment options from WHO. anxiety|mental-health|symptoms|treatment Article informative all English,anxieti disord fact sheet comprehens inform anxieti disord includ symptom diagnosi treatment option anxieti mental health symptom treatment articl inform english
7,Depression - WHO Fact Sheet,Authoritative information about depressive disorders including prevalence symptoms and evidence-based treatments.,https://www.who.int/news-room/fact-sheets/detail/depression,Article,depression|mental-health|symptoms|treatment,informative,all,WHO,English,Depression - WHO Fact Sheet Authoritative information about depressive disorders including prevalence symptoms and evidence-based treatments. depression|mental-health|symptoms|treatment Article informative all English,depress fact sheet authorit inform depress disord includ preval symptom evid base treatment depress mental health symptom treatment articl inform english
8,Anxiety for Kids & Teens (Video),Video presenting coping strategies for managing anxious feelings specifically designed for children and teenagers.,https://www.youtube.com/watch?v=XfcZ0McM-RI,Video,anxiety|youth|coping|strategies,supportive,young_adults,Mental Health Center Kids,English,Anxiety for Kids & Teens (Video) Video presenting coping strategies for managing anxious feelings specifically designed for children and teenagers. anxiety|youth|coping|strategies Video supportive young_adults English,anxieti kid teen video video present cope strategi manag anxiou feel specif design children teenag anxieti youth cope strategi video support young adult english
9,How to Deal with Anxiety - 3 Tools for Teens,Video demonstrating three practical techniques to manage anxious thoughts tailored for teenage audiences.,https://www.youtube.com/watch?v=_H5QFfiU0s0,Video,anxiety|teens|techniques|mental-health,supportive,young_adults,Amaze Org,English,How to Deal with Anxiety - 3 Tools for Teens Video demonstrating three practical techniques to manage anxious thoughts tailored for teenage audiences. anxiety|teens|techniques|mental-health Video supportive young_adults English,deal anxieti 3 tool teen video demonstr three practic techniqu manag anxiou thought tailor teenag audienc anxieti teen techniqu mental health video support young adult english
10,Understanding Suicide,Comprehensive article providing information about suicide risk factors warning signs and prevention strategies.,https://www.befrienders.org.my/understanding-suicide,Article,suicide|prevention|crisis|support,urgent,all,Befrienders Kuala Lumpur,English,Understanding Suicide Comprehensive article providing information about suicide risk factors warning signs and prevention strategies. suicide|prevention|crisis|support Article urgent all English,understand suicid comprehens articl provid inform suicid risk factor warn sign prevent strategi suicid prevent crisi support articl urgent english
11,NIMH Depression Information,Comprehensive resource covering all aspects of depression including types symptoms treatments and living with the condition.,https://www.nimh.nih.gov/health/topics/depression,Article,depression|treatment|symptoms|support,informative,all,NIMH,English,NIMH Depression Information Comprehensive resource covering all aspects of depression including types symptoms treatments and living with the condition. depression|treatment|symptoms|support Article informative all English,nimh depress inform comprehens resourc cover aspect depress includ type symptom treatment live condit depress treatment symptom support articl inform english
12,I'm So Stressed Out! Fact Sheet,NIMH fact sheet explaining stress its effects on mental and physical health and practical coping strategies.,https://www.nimh.nih.gov/health/publications/so-stressed-out-fact-sheet,Guide,stress|coping|mental-health|wellness,informative,students,NIMH,English,I'm So Stressed Out! Fact Sheet NIMH fact sheet explaining stress its effects on mental and physical health and practical coping strategies. stress|coping|mental-health|wellness Guide informative students English,stress fact sheet nimh fact sheet explain stress effect mental physic health practic cope strategi stress cope mental health well guid inform student english
13,Managing Stress - CDC Guide,CDC guide to understanding and managing stress with evidence-based strategies for daily life.,https://www.cdc.gov/mental-health/living-with/index.html,Guide,stress|management|coping|health,informative,all,CDC,English,Managing Stress - CDC Guide CDC guide to understanding and managing stress with evidence-based strategies for daily life. stress|management|coping|health Guide informative all English,manag stress cdc guid cdc guid understand manag stress evid base strategi daili life stress manag cope health guid inform english
14,Coping With Stress and Anxiety Infographic,Visual social media graphic providing quick tips for managing stress and anxiety effectively.,https://www.nimh.nih.gov/sites/default/files/documents/health/publications/so-stressed-out-fact-sheet/Im-So-Stressed-Out.pdf,Guide,stress|anxiety|coping|tips,supportive,all,NIMH,English,Coping With Stress and Anxiety Infographic Visual social media graphic providing quick tips for managing stress and anxiety effectively. stress|anxiety|coping|tips Guide supportive all English,cope stress anxieti infograph visual social media graphic provid quick tip manag stress anxieti effect stress anxieti cope tip guid support english
15,NIMH GREAT Method for Coping,Helpful practices framework (GREAT Method) designed to manage stress and anxiety in daily situations.,https://calyouth.org/nimhs-great-method-of-coping-with-stress-and-anxiety/,Article,stress|anxiety|coping|techniques,supportive,young_adults,NIMH,English,NIMH GREAT Method for Coping Helpful practices framework (GREAT Method) designed to manage stress and anxiety in daily situations. stress|anxiety|coping|techniques Article supportive young_adults English,nimh great method cope help practic framework great method design manag stress anxieti daili situat stress anxieti cope techniqu articl support young adult english
16,Guided Visualization: Dealing with Stress (Video),Video guide demonstrating visualization and relaxation techniques for stress management.,https://www.nimh.nih.gov/news/media/2021/guided-visualization-dealing-with-stress,Video,stress|relaxation|visualization|meditation,calm,all,NIMH,English,Guided Visualization: Dealing with Stress (Video) Video guide demonstrating visualization and relaxation techniques for stress management. stress|relaxation|visualization|meditation Video calm all English,guid visual deal stress video video guid demonstr visual relax techniqu stress manag stress relax visual medit video calm english
17,Caring for Your Mental Health,NIMH comprehensive guide to mental health self-care practices and maintaining emotional wellbeing.,https://www.nimh.nih.gov/health/topics/caring-for-your-mental-health,Article,mental-health|self-care|wellness|wellbeing,supportive,all,NIMH,English,Caring for Your Mental Health NIMH comprehensive guide to mental health self-care practices and maintaining emotional wellbeing. mental-health|self-care|wellness|wellbeing Article supportive all English,care mental health nimh comprehens guid mental health self care practic maintain emot wellb mental health self care well wellb articl support english
18,NIMH Anxiety Disorders Information,Detailed information about various anxiety disorders their symptoms and evidence-based treatment approaches.,https://www.nimh.nih.gov/health/topics/anxiety-disorders,Article,anxiety|disorders|treatment|symptoms,informative,all,NIMH,English,NIMH Anxiety Disorders Information Detailed information about various anxiety disorders their symptoms and evidence-based treatment approaches. anxiety|disorders|treatment|symptoms Article informative all English,nimh anxieti disord inform detail inform variou anxieti disord symptom evid base treatment approach anxieti disord treatment symptom articl inform english
22,Mindfulness App Resources,Comprehensive exercises and activities for developing mindfulness practices and reducing anxiety.,https://www.headspace.com/mindfulness,Article,mindfulness|meditation|anxiety|relaxation,calm,all,Headspace,English,Mindfulness App Resources Comprehensive exercises and activities for developing mindfulness practices and reducing anxiety. mindfulness|meditation|anxiety|relaxation Article calm all English,mind app resourc comprehens exercis activ develop mind practic reduc anxieti mind medit anxieti relax articl calm english
23,988 Suicide & Crisis Lifeline,Free 24/7 suicide prevention and mental health crisis support hotline available throughout the United States.,https://988lifeline.org/,Helpline,crisis|suicide|support|emergency,urgent,all,SAMHSA,English,988 Suicide & Crisis Lifeline Free 24/7 suicide prevention and mental health crisis support hotline available throughout the United States. crisis|suicide|support|emergency Helpline urgent all English,988 suicid crisi lifelin free 24 7 suicid prevent mental health crisi support hotlin avail throughout unit state crisi suicid support emerg helplin urgent english
24,SAMHSA National Helpline,Free confidential 24/7 treatment referral and information service for mental health and substance use disorders.,https://www.samhsa.gov/find-help/national-helpline,Helpline,crisis|support|treatment|referral,supportive,all,SAMHSA,English,SAMHSA National Helpline Free confidential 24/7 treatment referral and information service for mental health and substance use disorders. crisis|support|treatment|referral Helpline supportive all English,samhsa nation helplin free confidenti 24 7 treatment referr inform servic mental health substanc use disord crisi support treatment referr helplin support english
25,Crisis Text Line,Free 24/7 crisis support via text message connecting people in crisis with trained counselors.,https://www.crisistextline.org/,Helpline,crisis|support|text|counseling,supportive,all,Crisis Text Line,English,Crisis Text Line Free 24/7 crisis support via text message connecting people in crisis with trained counselors. crisis|support|text|counseling Helpline supportive all English,crisi text line free 24 7 crisi support via text messag connect peopl crisi train counselor crisi support text counsel helplin support english
37,Befrienders Kuala Lumpur Helpline,Malaysian 24/7 emotional support and suicide prevention helpline providing confidential listening services.,https://www.befrienders.org.my/,Helpline,crisis|suicide|support|malaysia,urgent,all,Befrienders KL,English,Befrienders Kuala Lumpur Helpline Malaysian 24/7 emotional support and suicide prevention helpline providing confidential listening services. crisis|suicide|support|malaysia Helpline urgent all English,befriend kuala lumpur helplin malaysian 24 7 emot support suicid prevent helplin provid confidenti listen servic crisi suicid support malaysia helplin urgent english
38,Talian HEAL 15555 Crisis Helpline,Malaysian mental health crisis helpline offering free professional tele-counseling services nationwide.,https://sites.google.com/moh.gov.my/ncemh,Helpline,crisis|counseling|malaysia|support,urgent,all,MOH Malaysia,English,Talian HEAL 15555 Crisis Helpline Malaysian mental health crisis helpline offering free professional tele-counseling services nationwide. crisis|counseling|malaysia|support Helpline urgent all English,talian heal 15555 crisi helplin malaysian mental health crisi helplin offer free profession tele counsel servic nationwid crisi counsel malaysia support helplin urgent english
39,Talian Kasih 15999 Hotline,Malaysian 24/7 support helpline for welfare concerns abuse and counseling services.,https://www.kpwkm.gov.my/portal-main/article?id=talian-kasih,Helpline,crisis|support|counseling|malaysia,urgent,all,KPWKM,Malay,Talian Kasih 15999 Hotline Malaysian 24/7 support helpline for welfare concerns abuse and counseling services. crisis|support|counseling|malaysia Helpline urgent all Malay,talian kasih 15999 hotlin malaysian 24 7 support helplin welfar concern abus counsel servic crisi support counsel malaysia helplin urgent malay
40,MIASA Crisis Helpline Malaysia,Malaysian mental health crisis helpline providing free confidential support by phone 24/7.,https://miasa.org.my/,Helpline,crisis|support|malaysia|counseling,urgent,all,MIASA Malaysia,English,MIASA Crisis Helpline Malaysia Malaysian mental health crisis helpline providing free confidential support by phone 24/7. crisis|support|malaysia|counseling Helpline urgent all English,miasa crisi helplin malaysia malaysian mental health crisi helplin provid free confidenti support phone 24 7 crisi support malaysia counsel helplin urgent english
